-d-c----x---- : /atf_logger : mediatek,atf_logger : drivers/misc/mediatek/atf_log/atf_logger.c : atf_log-y : none

-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-clps711x/board-edb7211.c : CONFIG_ARCH_EDB7211 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/cm-x300.c : CONFIG_MACH_CM_X300 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/colibri-pxa270-income.c : CONFIG_MACH_COLIBRI_PXA270_INCOME : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/ezx.c : CONFIG_PXA_EZX : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/hx4700.c : CONFIG_MACH_H4700 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/lpd270.c : CONFIG_MACH_LOGICPD_PXA270 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/magician.c : CONFIG_MACH_MAGICIAN : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/mainstone.c : CONFIG_MACH_MAINSTONE : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/mioa701.c : CONFIG_MACH_MIOA701 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/palm27x.c : CONFIG_MACH_PALM27X : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/palmtc.c : CONFIG_MACH_PALMTC : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/palmte2.c : CONFIG_MACH_PALMTE2 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/pcm990-baseboard.c : CONFIG_MACH_PCM990_BASEBOARD : none
-dDcC--H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_RC : none
-dDcC--H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_CONNECTOR : none
-dDcC--H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/raumfeld.c : CONFIG_MACH_RAUMFELD_SPEAKER : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/tavorevb.c : CONFIG_MACH_TAVOREVB : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/viper.c : CONFIG_ARCH_VIPER : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/z2.c : CONFIG_MACH_ZIPIT2 : none
-dDcC--H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/zylonite.c : CONFIG_MACH_ZYLONITE300 : none
-dDcC--H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-pxa/zylonite.c : CONFIG_MACH_ZYLONITE320 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c24xx/mach-h1940.c : CONFIG_ARCH_H1940 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c24xx/mach-rx1950.c : CONFIG_MACH_RX1950 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c64xx/dev-backlight.c : CONFIG_SAMSUNG_DEV_BACKLIGHT : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c64xx/mach-crag6410.c : CONFIG_MACH_WLF_CRAGG_6410 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c64xx/mach-hmt.c : CONFIG_MACH_HMT : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/arm/mach-s3c64xx/mach-smartq.c : CONFIG_MACH_SMARTQ : none
-dDc---Hx---- : /backlight_lcd0 : pwm-backlight : arch/avr32/boards/favr-32/setup.c : obj-y : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : arch/unicore32/kernel/puv3-nb0916.c : CONFIG_PUV3_NB0916 : none
-dDc---H----- : /backlight_lcd0 : pwm-backlight : drivers/video/backlight/pwm_bl.c : CONFIG_BACKLIGHT_PWM : none

